
2025-09-01;14:40:58.653;[45] PING;14:40:58.967;[137/45] PONG (2)

2025-09-01;14:40:55.116;[43] PING;14:41:00.149;(таймаут)

2025-09-01;14:40:59.837;[46] PING;14:41:00.882;[139/46] PONG (2)

2025-09-01;14:41:00.584;[47] PING;14:41:00.944;[140/47] PONG (2)

2025-09-01;; ;14:41:01.523;keepalive [143]

2025-09-01;14:41:02.101;[48] PING;14:41:02.820;[144/48] PONG (2)

2025-09-01;14:41:04.940;[49] PING;14:41:05.499;[146/49] PONG (2)

2025-09-01;; ;14:41:06.527;keepalive [148]

2025-09-01;14:41:08.704;[51] PING;14:41:08.922;[151/51] PONG (2)

2025-09-01;14:41:10.084;[52] PING;14:41:10.582;[152/52] PONG (2)

2025-09-01;; ;14:41:11.512;keepalive [155]

2025-09-01;14:41:11.512;[53] PING;14:41:11.948;[156/53] PONG (2)

2025-09-01;14:41:07.800;[50] PING;14:41:12.820;(таймаут)

2025-09-01;14:41:15.563;[55] PING;14:41:16.296;[160/55] PONG (2)

2025-09-01;; ;14:41:16.516;keepalive [162]

2025-09-01;14:41:16.858;[56] PING;14:41:17.294;[165/56] PONG (2)

2025-09-01;14:41:12.789;[54] PING;14:41:17.856;(таймаут)

2025-09-01;14:41:18.087;[57] PING;14:41:18.648;[166/57] PONG (2)

2025-09-01;14:41:19.924;[58] PING;14:41:20.143;[168/58] PONG (2)

2025-09-01;; ;14:41:21.516;keepalive [172]

2025-09-01;14:41:22.013;[59] PING;14:41:22.808;[173/59] PONG (2)

2025-09-01;14:41:24.679;[60] PING;14:41:25.721;[175/60] PONG (2)

2025-09-01;; ;14:41:26.533;keepalive [178]

2025-09-01;14:41:29.063;[62] PING;14:41:29.221;[180/62] PONG (2)

2025-09-01;14:41:26.159;[61] PING;14:41:31.212;(таймаут)

2025-09-01;; ;14:41:31.555;keepalive [184]

2025-09-01;14:41:31.803;[63] PING;14:41:32.334;[185/63] PONG (2)

2025-09-01;14:41:33.889;[64] PING;14:41:34.356;[187/64] PONG (2)

